Instance,V,E,k,Approx Cost,Approx Time (ms),Heuristic Cost,Heuristic Time (ms),Heuristic/Approx
Test 1,1069,9158,192,2789,656.2489,3340,130.6834,1.1976
Test 2,1847,9300,240,5530,1661.0850,6815,44.1935,1.2324
Test 3,1668,2106,183,16568,982.1150,19481,88.2875,1.1758
Test 4,770,2388,123,4888,158.0755,5940,8.0160,1.2152
Test 5,1116,9303,189,2758,1449.2331,3288,43.6653,1.1922
